./tests/run_tests.sh
[SKIP] test_func.c: EXPECT コメントなし
[PASS] test1.c (数値・四則演算) => 0
[PASS] test2.c (数値・四則演算) => 42
[PASS] test3.c (数値・四則演算) => 42
[PASS] test4.c (数値・四則演算) => 47
[PASS] test5.c (数値・四則演算) => 15
[PASS] test6.c (数値・四則演算) => 4
[PASS] test7.c (数値・四則演算) => 4
[PASS] test8.c (数値・四則演算) => 32
[PASS] test9.c (比較演算子) => 0
[PASS] test10.c (比較演算子) => 1
[PASS] test11.c (比較演算子) => 14
[PASS] test12.c (比較演算子) => 1
[PASS] test13.c (比較演算子) => 0
[PASS] test14.c (比較演算子) => 0
[PASS] test15.c (比較演算子) => 1
[PASS] test16.c (比較演算子) => 0
[PASS] test17.c (複数文・ローカル変数) => 2
[PASS] test18.c (複数文・ローカル変数) => 11
[PASS] test19.c (複数文・ローカル変数) => 12
[PASS] test20.c (複数文・ローカル変数) => 10
[PASS] test21.c (複数文・ローカル変数) => 10
[PASS] test22.c (複数文・ローカル変数) => 23
[PASS] test23.c (複数文・ローカル変数) => 13
[PASS] test24.c (複数文・ローカル変数) => 14
[PASS] test25.c (return) => 19
[PASS] test26.c (if/else) => 11
[PASS] test27.c (while) => 3
[PASS] test28.c (for) => 8
[PASS] test29.c (for) => 40
[PASS] test30.c (for + if/else) => 40
[PASS] test31.c (関数呼び出し（外部関数）) => 33
[PASS] test32.c (関数呼び出し（外部関数）) => 5
[PASS] test33.c (関数呼び出し（外部関数）) => 10
[PASS] test34.c (関数呼び出し（外部関数）) => 38
[PASS] test35.c (関数呼び出し（外部関数）) => 15
[PASS] test36.c (関数呼び出し（外部関数）) => 36
[PASS] test37.c (関数定義) => 46
[PASS] test38.c (関数定義（複合テスト）) => 100
[PASS] test39.c (関数定義（複合テスト）) => 1
[PASS] test40.c (関数定義（複合テスト）) => 55
[PASS] test41.c (関数定義（引数を使用）) => 42
[PASS] test42.c (関数定義（引数を使用）) => 8
[PASS] test43.c (関数定義（引数を使用）) => 5
[PASS] test44.c (関数定義（引数を使用）) => 15
[PASS] test45.c (関数定義（引数を使用）) => 20
[PASS] test46.c (関数定義（引数を使用）) => 55
[PASS] test47.c (単項演算子（&, *）) => 3
[PASS] test48.c (単項演算子（&, *）) => 20
[PASS] test49.c (単項演算子（&, *）) => 30
[PASS] test50.c (単項演算子（&, *）) => 5
[PASS] test51.c (単項演算子（&, *）) => 3
[PASS] test52.c (単項演算子（&, *）) => 77
[PASS] test53.c (単項演算子（&, *）) => 4
[PASS] test54.c (ポインタ型変数) => 3
[PASS] test55.c (ポインタ型変数) => 42
[PASS] test56.c (ポインタ型変数) => 99
[PASS] test57.c (ポインタ型変数) => 7
[PASS] test58.c (ポインタ型変数) => 5
[PASS] test59.c (ポインタ型変数) => 88
[PASS] test60.c (ポインタ型変数) => 30
[PASS] test61.c (ポインタ型変数) => 15
[PASS] test62.c (ポインタ型変数（初期化なし宣言）) => 0
[PASS] test63.c (ポインタ型変数（初期化なし宣言）) => 0
[PASS] test64.c (ポインタ型変数（初期化なし宣言）) => 5
[PASS] test65.c (ポインタ型変数（初期化なし宣言）) => 3
[PASS] test66.c (ポインタ型変数（初期化なし宣言）) => 10
[PASS] test67.c (関数引数にポインタ型) => 42
[PASS] test68.c (関数引数にポインタ型) => 99
[PASS] test69.c (関数引数にポインタ型) => 30
[PASS] test70.c (関数引数にポインタ型) => 5
[PASS] test71.c (関数引数にポインタ型) => 3
[PASS] test72.c (sizeof(ポインタ型)) => 8
[PASS] test73.c (sizeof(ポインタ型)) => 8
[PASS] test74.c (sizeof(ポインタ型)) => 4
[PASS] test75.c (sizeof(ポインタ型)) => 4
[PASS] test76.c (sizeof(ポインタ型)) => 4
[PASS] test77.c (sizeof(ポインタ型)) => 8
[PASS] test78.c (sizeof(ポインタ型)) => 1
[PASS] test79.c (char型変数) => 5
[PASS] test80.c (char型変数) => 10
[PASS] test81.c (char型変数) => 4
[PASS] test82.c (char型変数) => 6
[PASS] test83.c (char型変数) => 5
[PASS] test84.c (char型変数) => 30
[PASS] test85.c (char型変数) => 200
[PASS] test86.c (char型変数) => 99
[PASS] test87.c (char型変数) => 3
[PASS] test88.c (char型変数) => 20
[PASS] test89.c (char型変数) => 10
[PASS] test90.c (char型変数) => 1
[PASS] test91.c (char型変数) => 1
[PASS] test92.c (char型ポインタ) => 7
[PASS] test93.c (char型ポインタ) => 50
[PASS] test94.c (char型ポインタ) => 33
[PASS] test95.c (sizeof(char関連)) => 1
[PASS] test96.c (sizeof(char関連)) => 1
[PASS] test97.c (sizeof(char関連)) => 8
make: *** [Makefile:11: test] Interrupt
./tests/run_tests.sh
[SKIP] test_func.c: EXPECT コメントなし
[PASS] test1.c (数値・四則演算) => 0
[PASS] test2.c (数値・四則演算) => 42
[PASS] test3.c (数値・四則演算) => 42
[PASS] test4.c (数値・四則演算) => 47
[PASS] test5.c (数値・四則演算) => 15
[PASS] test6.c (数値・四則演算) => 4
[PASS] test7.c (数値・四則演算) => 4
[PASS] test8.c (数値・四則演算) => 32
[PASS] test9.c (比較演算子) => 0
[PASS] test10.c (比較演算子) => 1
[PASS] test11.c (比較演算子) => 14
[PASS] test12.c (比較演算子) => 1
[PASS] test13.c (比較演算子) => 0
[PASS] test14.c (比較演算子) => 0
[PASS] test15.c (比較演算子) => 1
[PASS] test16.c (比較演算子) => 0
[PASS] test17.c (複数文・ローカル変数) => 2
[PASS] test18.c (複数文・ローカル変数) => 11
[PASS] test19.c (複数文・ローカル変数) => 12
[PASS] test20.c (複数文・ローカル変数) => 10
[PASS] test21.c (複数文・ローカル変数) => 10
[PASS] test22.c (複数文・ローカル変数) => 23
[PASS] test23.c (複数文・ローカル変数) => 13
[PASS] test24.c (複数文・ローカル変数) => 14
[PASS] test25.c (return) => 19
[PASS] test26.c (if/else) => 11
[PASS] test27.c (while) => 3
[PASS] test28.c (for) => 8
[PASS] test29.c (for) => 40
[PASS] test30.c (for + if/else) => 40
[PASS] test31.c (関数呼び出し（外部関数）) => 33
[PASS] test32.c (関数呼び出し（外部関数）) => 5
[PASS] test33.c (関数呼び出し（外部関数）) => 10
[PASS] test34.c (関数呼び出し（外部関数）) => 38
[PASS] test35.c (関数呼び出し（外部関数）) => 15
[PASS] test36.c (関数呼び出し（外部関数）) => 36
[PASS] test37.c (関数定義) => 46
[PASS] test38.c (関数定義（複合テスト）) => 100
[PASS] test39.c (関数定義（複合テスト）) => 1
[PASS] test40.c (関数定義（複合テスト）) => 55
[PASS] test41.c (関数定義（引数を使用）) => 42
[PASS] test42.c (関数定義（引数を使用）) => 8
[PASS] test43.c (関数定義（引数を使用）) => 5
[PASS] test44.c (関数定義（引数を使用）) => 15
[PASS] test45.c (関数定義（引数を使用）) => 20
[PASS] test46.c (関数定義（引数を使用）) => 55
[PASS] test47.c (単項演算子（&, *）) => 3
[PASS] test48.c (単項演算子（&, *）) => 20
[PASS] test49.c (単項演算子（&, *）) => 30
[PASS] test50.c (単項演算子（&, *）) => 5
[PASS] test51.c (単項演算子（&, *）) => 3
[PASS] test52.c (単項演算子（&, *）) => 77
[PASS] test53.c (単項演算子（&, *）) => 4
[PASS] test54.c (ポインタ型変数) => 3
[PASS] test55.c (ポインタ型変数) => 42
[PASS] test56.c (ポインタ型変数) => 99
[PASS] test57.c (ポインタ型変数) => 7
[PASS] test58.c (ポインタ型変数) => 5
[PASS] test59.c (ポインタ型変数) => 88
[PASS] test60.c (ポインタ型変数) => 30
[PASS] test61.c (ポインタ型変数) => 15
[PASS] test62.c (ポインタ型変数（初期化なし宣言）) => 0
[PASS] test63.c (ポインタ型変数（初期化なし宣言）) => 0
[PASS] test64.c (ポインタ型変数（初期化なし宣言）) => 5
[PASS] test65.c (ポインタ型変数（初期化なし宣言）) => 3
[PASS] test66.c (ポインタ型変数（初期化なし宣言）) => 10
[PASS] test67.c (関数引数にポインタ型) => 42
[PASS] test68.c (関数引数にポインタ型) => 99
[PASS] test69.c (関数引数にポインタ型) => 30
[PASS] test70.c (関数引数にポインタ型) => 5
[PASS] test71.c (関数引数にポインタ型) => 3
[PASS] test72.c (sizeof(ポインタ型)) => 8
[PASS] test73.c (sizeof(ポインタ型)) => 8
[PASS] test74.c (sizeof(ポインタ型)) => 4
[PASS] test75.c (sizeof(ポインタ型)) => 4
